,precision,recall,f1-score,support
0,0.481497190117697,0.7666722944453824,0.5915070991272633,5923.0
1,0.5740912248205603,0.7355384159003263,0.6448634590377114,6742.0
2,0.12745098039215685,0.002181940248405505,0.0042904290429042905,5958.0
3,0.872,0.0533355080737237,0.10052259452812788,6131.0
4,0.40173410404624277,0.8327627524820267,0.5420008912655971,5842.0
5,0.05095277547638774,0.022689540675152185,0.031397574984045946,5421.0
6,0.798990748528175,0.4815816154106117,0.6009488666315235,5918.0
7,0.8035869250795488,0.44341580207501996,0.5714873482822465,6265.0
8,0.2585734577922078,0.8711331396342505,0.3987794859758244,5851.0
9,0.3247422680412371,0.01059001512859304,0.020511150903467362,5949.0
accuracy,0.42693333333333333,0.42693333333333333,0.42693333333333333,0.42693333333333333
macro avg,0.46936196742942127,0.4219901024073492,0.3506308899778712,60000.0
weighted avg,0.4776477642868682,0.42693333333333333,0.35702785153162736,60000.0
